epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
52,19980897.6552,2634905.4798,0.5506,0.5763,0.5613,0.5763
53,18874860.9440,2604398.4164,0.5507,0.5764,0.5610,0.5764
54,19925111.8060,2665593.6399,0.5507,0.5764,0.5610,0.5764
55,19326929.9397,2628083.6736,0.5507,0.5763,0.5608,0.5763
56,19996057.6681,2646307.1185,0.5509,0.5765,0.5610,0.5765
57,19060775.0259,2681439.7486,0.5508,0.5764,0.5609,0.5764
58,19650384.3750,2607335.0546,0.5509,0.5765,0.5610,0.5765
59,18423521.1940,2596290.1706,0.5505,0.5761,0.5606,0.5761
60,18846363.3879,2592777.6304,0.5508,0.5764,0.5608,0.5764
61,19277706.6638,2592360.1815,0.5505,0.5761,0.5606,0.5761
62,19871212.3276,2588441.5694,0.5505,0.5761,0.5606,0.5761
63,18632233.4957,2588007.0913,0.5506,0.5763,0.5607,0.5763
64,18674738.0560,2594291.2371,0.5500,0.5756,0.5601,0.5756
65,19766274.7069,2605305.2301,0.5505,0.5761,0.5607,0.5761
66,19199673.3448,2607835.5465,0.5505,0.5761,0.5607,0.5761
67,19834204.0259,2609768.1936,0.5505,0.5761,0.5607,0.5761
68,19360352.7974,2614375.5833,0.5504,0.5760,0.5605,0.5760
69,19346383.6034,2612018.3811,0.5505,0.5761,0.5606,0.5761
70,19556887.4181,2613857.9329,0.5505,0.5761,0.5606,0.5761
71,19742921.0776,2619576.8959,0.5505,0.5761,0.5606,0.5761
72,19652114.3448,2620207.4693,0.5505,0.5761,0.5606,0.5761
73,19544661.5000,2619655.3406,0.5505,0.5761,0.5606,0.5761
74,19658388.0948,2621222.6641,0.5505,0.5761,0.5606,0.5761
75,20373341.1078,2620655.7634,0.5505,0.5761,0.5606,0.5761
76,19244776.7371,2619203.0722,0.5505,0.5761,0.5606,0.5761
77,19048152.5776,2618562.2302,0.5505,0.5761,0.5606,0.5761
78,19291341.0776,2617892.7817,0.5505,0.5761,0.5606,0.5761
